时间,分类,二级分类,类型,金额,币种,备注,标签
2026-01-05,收入,工资,收入,12800,CNY,一月工资,固定收入
2026-01-06,居住,房租,支出,2800,CNY,一月房租,必要支出
2026-01-10,学习,书籍,支出,126,CNY,社区营造与活动设计书籍,成长
2026-01-17,运动,徒步,支出,168,CNY,周末近郊徒步活动,体验
2026-01-18,学习,陶艺课程,支出,399,CNY,六次陶艺入门课,新爱好
2026-01-22,餐饮,朋友聚餐,支出,186,CNY,朋友生日聚餐,社交
2026-01-28,公益,捐赠,支出,100,CNY,社区流浪动物项目,公益
2026-02-05,收入,工资,收入,12800,CNY,二月工资,固定收入
2026-02-06,居住,房租,支出,2800,CNY,二月房租,必要支出
2026-02-07,兴趣,陶艺工具,支出,486,CNY,修坯工具和釉下彩,冲动消费
2026-02-12,交通,公共交通,支出,112,CNY,地铁公交充值,必要支出
2026-02-18,学习,线上课程,支出,299,CNY,公共表达课程,成长
2026-02-21,餐饮,朋友聚餐,支出,224,CNY,徒步小组聚餐,社交
2026-02-26,生活,鲜花绿植,支出,78,CNY,阳台香草植物,生活兴趣
2026-03-05,收入,工资,收入,12800,CNY,三月工资,固定收入
2026-03-06,居住,房租,支出,2800,CNY,三月房租,必要支出
2026-03-08,运动,跑步装备,支出,359,CNY,替换旧跑鞋,健康
2026-03-14,文化,展览演出,支出,120,CNY,城市摄影展,体验
2026-03-22,公益,志愿活动,支出,86,CNY,工作坊打印和茶点,公益
2026-03-25,学习,书籍,支出,89,CNY,微习惯和决策相关书籍,成长
2026-03-29,餐饮,朋友聚餐,支出,198,CNY,同事周末聚餐,社交
2026-04-05,收入,工资,收入,12800,CNY,四月工资,固定收入
2026-04-06,居住,房租,支出,2800,CNY,四月房租,必要支出
2026-04-09,学习,书籍,支出,65,CNY,二手书店购书,成长
2026-04-13,兴趣,陶艺材料,支出,138,CNY,完成课程后的陶泥材料,持续兴趣
2026-04-20,运动,徒步,支出,136,CNY,龙泉山轻徒步,体验
2026-04-27,餐饮,朋友聚餐,支出,172,CNY,项目结束聚餐,社交
2026-05-05,收入,工资,收入,12800,CNY,五月工资,固定收入
2026-05-06,居住,房租,支出,2800,CNY,五月房租,必要支出
2026-05-10,旅行,短途出行,支出,620,CNY,乐山周末短途旅行,体验
2026-05-16,餐饮,日常餐饮,支出,42,CNY,公园附近午餐和冰粉,休息
2026-05-21,公益,捐赠,支出,100,CNY,社区儿童阅读计划,公益
2026-05-28,文化,电影,支出,56,CNY,纪录片电影票,体验
2026-06-05,收入,工资,收入,12800,CNY,六月工资,固定收入
2026-06-06,居住,房租,支出,2800,CNY,六月房租,必要支出
2026-06-12,运动,跑步活动,支出,99,CNY,城市公益跑报名,健康
2026-06-18,生活,雨具,支出,189,CNY,替换破损雨衣,必要支出
2026-06-22,学习,线下工作坊,支出,260,CNY,社区项目复盘工作坊,成长
2026-06-27,餐饮,朋友聚餐,支出,158,CNY,半年小组聚餐,社交
